,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline
0,0.805,6.801992,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,pycohlag-EN
1,0.772,4.7249827,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,pycohlag-EN
2,0.5715,5.141212,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,pycohlag-EN
3,0.703,4.505578,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,pycohlag-EN
4,0.648,4.482785,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,pycohlag-EN
5,0.501,3.5468056,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,pycohlag-EN
6,0.5482639,4.234865,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,pycohlag-EN
7,0.516,3.457579,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,pycohlag-EN
8,0.5105,3.6243844,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,pycohlag-EN
9,0.5225,3.191345,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,pycohlag-EN
10,0.968,28.881773,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,pycoh-EN
11,0.9765,3.8888607,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,pycoh-EN
12,0.9765,2.7622654,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,pycoh-EN
13,0.9285,2.520941,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,pycoh-EN
14,0.9095,2.36033,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,pycoh-EN
15,0.491,3.1148143,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,pycoh-EN
16,0.47604167,2.883525,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,pycoh-EN
17,0.517,2.3916733,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,pycoh-EN
18,0.4675,2.416007,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,pycoh-EN
19,0.5665,2.3799303,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,pycoh-EN
20,0.6245,28.091217,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,pyimcoh-EN
21,0.7225,4.8363667,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,pyimcoh-EN
22,0.6205,4.1491547,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,pyimcoh-EN
23,0.581,4.4475565,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,pyimcoh-EN
24,0.645,3.9627223,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,pyimcoh-EN
25,0.587,3.5144641,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,pyimcoh-EN
26,0.5381944,3.9172883,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,pyimcoh-EN
27,0.529,3.161639,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,pyimcoh-EN
28,0.4645,3.4173326,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,pyimcoh-EN
29,0.471,3.105273,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,pyimcoh-EN
30,0.977,8.93162,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,pycohinst-EN
31,0.9795,2.8569686,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,pycohinst-EN
32,0.975,4.5505843,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,pycohinst-EN
33,0.927,2.962024,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,pycohinst-EN
34,0.909,2.3684793,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,pycohinst-EN
35,0.48,2.5468059,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,pycohinst-EN
36,0.496875,2.9408216,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,pycohinst-EN
37,0.5245,2.3901224,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,pycohinst-EN
38,0.4975,2.3773263,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,pycohinst-EN
39,0.5975,2.415512,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,pycohinst-EN
